STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992352 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000034,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,164886
CPU_CLK_UNHALTED_CORE,FIXC1,138940
CPU_CLK_UNHALTED_REF,FIXC2,124392
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,2294
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,136
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],3.402294e-05,
Runtime unhalted [s],4.076887e-05,
Clock [MHz],3806.5668,
CPI,0.8426,
DP MFLOP/s,83.4143,
AVX DP MFLOP/s,15.9892,
Packed MUOPS/s,3.9973,
Scalar MUOPS/s,67.4251,
Vectorization ratio,5.5967,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992352 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000002,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,16078
CPU_CLK_UNHALTED_CORE,FIXC1,30727
CPU_CLK_UNHALTED_REF,FIXC2,27974
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,327
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,27
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],1.750590e-06,
Runtime unhalted [s],9.016159e-06,
Clock [MHz],3743.3825,
CPI,1.9111,
DP MFLOP/s,248.4877,
AVX DP MFLOP/s,61.6935,
Packed MUOPS/s,15.4234,
Scalar MUOPS/s,186.7942,
Vectorization ratio,7.6271,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992352 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000047,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,194138
CPU_CLK_UNHALTED_CORE,FIXC1,161743
CPU_CLK_UNHALTED_REF,FIXC2,145266
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,18375
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],4.720137e-05,
Runtime unhalted [s],4.745991e-05,
Clock [MHz],3794.5487,
CPI,0.8331,
DP MFLOP/s,389.2895,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,389.2895,
Vectorization ratio,0,
